date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude,month,day,year,time
10/10/1955 17:00,chester (uk/england),,gb,round,20,20 seconds,Green/Orange circular disc over Chester&#44 England,1/21/2008,53.2,-2.916667,10,10,1955,17:00
10/10/1965 21:00,penarth (uk/wales),,gb,round,180,about 3 mins,penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal,2/14/2006,51.434722,-3.18,10,10,1965,21:00
10/10/1973 23:00,bermuda nas,,bm,light,20,20 sec.,saw fast moving blip on the radar scope thin went outside and saw it again.,1/11/2002,32.364167,-64.678611,10,10,1973,23:00
10/10/1974 21:30,cardiff (uk/wales),,gb,disk,1200,20 minutes,back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca,2/1/2007,51.5,-3.2,10,10,1974,21:30
10/10/1976 22:00,stoke mandeville (uk/england),,gb,cylinder,3,3 seconds,White object over Buckinghamshire UK.,12/12/2009,51.783333,-0.783333,10,10,1976,22:00
10/10/1979 22:00,saddle lake (canada),ab,ca,triangle,270,4.5 or more min.,Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.,1/19/2005,53.970571,-111.689885,10,10,1979,22:00
10/10/1982 7:00,gisborne (new zealand),,nz,disk,120,2min,gisborne nz 1982 wainui beach to sponge bay,1/11/2002,-38.662334,178.017649,10,10,1982,7:00
10/10/1985 20:25,leeds (uk/england),,gb,triangle,600,10min,three light in the sky that led to a big black silent triangle shaped craft.,3/4/2003,53.8,-1.583333,10,10,1985,20:25
10/10/1993 3:00,zlatoust (russia),,ru,round,1200,20 minutes,I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment,12/14/2004,55.183333,59.65,10,10,1993,3:00
10/10/1994 23:00,toronto (greater toronto area) (canada),on,ca,round,3600,~1 hour,Large rusty sphere,7/3/2013,43.666667,-79.416667,10,10,1994,23:00
10/10/1996 20:00,lake macquarie (nsw&#44 australia),,au,light,300,5 min,RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT,5/24/1999,-33.093373,151.588982,10,10,1996,20:00
10/10/1998 22:30,st. john&#39s (canada),nf,ca,egg/teardrop,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,12/2/2000,47.55,-52.666667,10,10,1998,22:30
10/10/2000 7:30,victoria (canada),bc,ca,cylinder,30,30seconds,Smooth Shiny Cylinder,12/2/2000,46.216667,-63.483333,10,10,2000,7:30
10/10/2001 4:33,sydney (nsw&#44 australia),,au,formation,180,3 minutes,formation and impact,11/20/2001,-33.861481,151.205475,10,10,2001,4:33
10/10/2001 20:10,vancouver (canada),bc,ca,other/unspecified,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/2011,49.25,-123.133333,10,10,2001,20:10
10/10/2002 4:00,adelaide (pt. wakefield) (south australia),,au,round,600,10 mins,one light became 3,10/28/2002,-34.928661,138.598633,10,10,2002,4:00
10/10/2002 19:45,victoria (canada),bc,ca,other/unspecified,120,2 minutes approx,bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward.,10/15/2002,46.216667,-63.483333,10,10,2002,19:45
10/10/2003 23:00,bickerton (near wetherby) (uk/england),,gb,other/unspecified,2700,45minutes,two bright&#44 but fuzzy lights going in a hovering circle about 200 yards of the ground&#44 with a grey cloud above them,10/15/2003,53.070884,-2.736506,10,10,2003,23:00
10/10/2004 3:50,portage la prairie (canada),mb,ca,changing,1200,20minutes,Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada,10/27/2004,49.966667,-98.3,10,10,2004,3:50
10/10/2004 9:45,nobel (canada),on,ca,other/unspecified,300,5:00,Floating Red Object,10/27/2004,45.416667,-80.1,10,10,2004,9:45
10/10/2004 15:20,kedainiai (lithuania),,lt,round,240,4min,6 oval light objects very quickly rounded under the dark cloud for a some minutes ((NUFORC Note:  Possible advertising lights??  PD)),10/27/2004,55.288131,23.957728,10,10,2004,15:20
10/10/2005 20:00,newtown (uk/wales),,gb,formation,360,5/6 minutes,red/orang lights dancing in the sky.,5/15/2006,52.516667,-3.3,10,10,2005,20:00
10/10/2006 21:47,plymouth (devonshire) (uk/england),,gb,formation,120,1-2 mins,they were right above me very small almost like minni stars and they were circling round sommothing and came closer and further away an,10/30/2006,50.396389,-4.138611,10,10,2006,21:47
10/10/2007 23:20,stord (norway),,no,light,600,10 min,Thise could be an ETV case&#44 but it could also be helicopters or/and airplanes,1/21/2008,59.900209,5.282347,10,10,2007,23:20
10/10/2008 2:00,london (canada),on,ca,other/unspecified,120,2 min. approx,C shape with a T front over London ont on Oct 10&#44 2008 on a clear day around 2PM,6/9/2009,42.983333,-81.25,10,10,2008,2:00
10/10/2011 14:00,epsom (surrey) (uk/england),,gb,round,300,5 mins,Flying beer barrel shaped metallic object,12/12/2011,51.316667,-0.266667,10,10,2011,14:00
10/10/2011 20:00,hamilton (canada),on,ca,light,4,2-4 seconds,Strange flash in the sky,10/19/2011,43.25,-79.833333,10,10,2011,20:00
10/10/2012 20:17,mount albert (canada),on,ca,triangle,30,30 seconds,On Wednesday October 10 2012 at 8:17 pm in Mount Albert Ontario I saw a triangle shaped UFO. It had a single light on each point and it,10/30/2012,44.136076,-79.308339,10,10,2012,20:17
10/10/2013 17:10,ottawa (canada),on,ca,light,10,10 seconds,FATHER: My name is Eldon Trepanier&#44  and I assure you that the following statement is true.At approximately 5:10 pm&#44 I spotted a very b,10/14/2013,45.416667,-75.7,10,10,2013,17:10
10/10/2013 19:15,harvey station (canada),nb,ca,light,120,2 minutes,Slow moving bright orange light.,10/23/2013,45.716667,-67,10,10,2013,19:15
10/11/1986 20:30,alice springs  (nt&#44 australia),,au,other/unspecified,20,20 seconds,Being  of light reported&#44Jesus or another messenger&#33,1/19/2005,-23.697479,133.883621,10,11,1986,20:30
10/11/1997 22:00,hafnarfjordur (iceland),,is,round,300,5 min,playing with a jet,6/12/2008,64.066667,-21.95,10,11,1997,22:00
10/11/1999 18:00,parry sound (near) (canada),on,ca,disk,6,6 seconds,A silvery disk shaped object&#44 flew over an aircraft&#44 then disappeared.,4/22/2003,45.333333,-80.033333,10,11,1999,18:00
10/11/2000 19:30,london (uk/england),,gb,diamond,3,3 seconds,Diamond shaped ufo seen pulsing for short time near London England,12/2/2000,51.514125,-0.093689,10,11,2000,19:30
10/11/2000 22:09,dolgellau (uk/wales),,gb,changing,240,3 or 4 minutes,How two became one.,12/20/2000,52.75,-3.883333,10,11,2000,22:09
10/11/2004 10:00,nuevo laredo (mexico),,mx,light,1200,20min,While I was driving I stopped at a traffic light and when I turned to wait for the green light&#44 I saw 11 bright lights in the sky,7/16/2006,27.477936,-99.549573,10,11,2004,10:00
10/11/2005 0:00,cannock (uk/england),,gb,formation,180,3 minutes,Formation spotted,10/20/2005,52.683333,-2.016667,10,11,2005,0:00
10/11/2005 21:50,rotherham (south yorkshire) (uk/england),,gb,round,3600,1hr,A light it was a oval shape duration was 1hr,12/16/2005,53.433333,-1.35,10,11,2005,21:50
10/11/2006 21:20,kidlington (uk/england),,gb,formation,5,5 sec,Shape of object wasn&#39t wisible. Light spots shine in triangular shape,10/30/2006,51.816667,-1.283333,10,11,2006,21:20
10/11/2007 19:28,brassall (australia),,au,other/unspecified,3600,1 hour +,Accidentally photographed very strange UFO,11/28/2007,-27.597553,152.7455,10,11,2007,19:28
10/11/2007 23:00,london (uk/england),,gb,other/unspecified,300,5 minutes,Yellow lights in formation,3/4/2008,51.514125,-0.093689,10,11,2007,23:00
10/11/2008 0:00,klagenfurt (austria),,au,chevron,60,1 minute,It came from the direction of the city&#44 when I stood on a hill in total darkness in the countryside. It was moving strangely&#44  not stra,3/19/2009,46.62794,14.30899,10,11,2008,0:00
10/11/2008 17:30,bellmere (australia),,au,cylinder,240,4 minutes,Very large long white cylinder object traveling high up and smoothly above storm clouds.,1/10/2009,-27.088079,152.928057,10,11,2008,17:30
10/11/2009 4:45,st. john&#39s (canada),nf,ca,light,5,>5 seconds,Bending streak of white light over suburban area.,12/12/2009,47.55,-52.666667,10,11,2009,4:45
10/11/2013 3:00,hamilton (canada),on,ca,cylinder,3600,0300:0400,Enlarged still frame pics of the video show strage shapes and strange colors.,10/23/2013,43.25,-79.833333,10,11,2013,3:00
10/11/2013 16:01,pickering (canada),on,ca,round,300,5 minutes,Glowing blue sphere in Ontario&#44 Canada.,1/30/2014,43.866667,-79.033333,10,11,2013,16:01
10/11/2013 22:18,windsor (canada),on,ca,light,300,3-5 minutes,5 orange lights seen in sky over windsor.,10/14/2013,45.583333,-72,10,11,2013,22:18
10/1/1952 3:30,fukuoka (japan),,jp,disk,1200,about 20 mins,UFO seen by multiple U. S. military personnel; F-86 intercept.,12/7/2006,33.590355,130.401716,10,1,1952,3:30
10/1/1966 19:00,edmonton (30 mi. east of&#44 hwy 16 east) (canada),ab,ca,diamond,300,5 min,Unusual ights in distance. Approached until object overhead as wide as road and ditch. Bright lights&#44 Turned head to find object in hor,8/5/2001,53.55,-113.5,10,1,1966,19:00
10/1/1967 19:00,hudson&#39s hope (canada),bc,ca,round,120,2 minutes,Large round silver UFO in Peace River Valley 1966-67,2/18/2001,56.031639,-121.905722,10,1,1967,19:00
10/1/1970 0:00,viet nam,,vn,light,600,5/10 minutes,U.F.O. in Vietnam    1970,6/4/2004,14.058324,108.277199,10,1,1970,0:00
10/1/1970 1:00,kingston (canada),on,ca,round,180,3 minutes,Sept. 1970. Kingston Ontario. Spherical grren orb. 3 minute duration. Bright green orb travelled slowly and then took off extremely qui,10/11/2005,44.233333,-76.483333,10,1,1970,1:00
10/1/1974 20:00,ankara (turkey),,tr,changing,300,5 min.,A bright&#44 huge&#44 and shape-changing object&#44 exploded into numerous smaller spherical objects which moved in formation.,8/7/2007,39.92077,32.85411,10,1,1974,20:00
10/1/1983 17:00,birmingham (uk/england),,gb,round,97836000,31 years,Firstly&#44 I was stunned and stared at the object for what seemed minutes&#44 but probably was only seconds. My first inclination was to bec,4/12/2013,52.466667,-1.916667,10,1,1983,17:00
10/1/1987 19:00,victoria (canada),bc,ca,round,900,15mins,Large red and orange sphere&#44 balanced on a rock in 1987.,10/30/2006,46.216667,-63.483333,10,1,1987,19:00
10/1/1995 21:00,taunton (near) (uk/england),,gb,light,60,1 minute,The object was made up of a formation of small lights&#44 plus one light moving independantly  around main formation,1/29/2002,51.021111,-3.104722,10,1,1995,21:00
10/1/1998 21:00,warrington (uk/england),,gb,flare,8,8 seconds,It was a clear night&#44 the fireball was huge and you could almost hear a rumbling. It shot across the sky from left to right at an incre,7/26/2002,53.383333,-2.6,10,1,1998,21:00
10/1/1999 23:00,blankenberge (belgium),,be,formation,10,10 seconds,upside down V formation of 9 birght lights on high altitude changed to M formation in less than a second,4/8/2002,51.312374,3.132768,10,1,1999,23:00
10/1/2000 9:00,markham (canada),on,ca,cylinder,600,10 min,It was some time in oct 2000.I was taking my wife to work on Markham road&#44 traveling south bound. There was a lot of traffic and lots o,8/5/2009,43.866667,-79.266667,10,1,2000,9:00
10/1/2000 13:00,yangtzee river (china),,cn,disk,900,15 minutes,Picture taken of disk in sky&#44 that appears to be somthing out of the ordinary.,7/5/2008,31.84694,120.872862,10,1,2000,13:00
10/1/2000 20:00,tillicoultry (central scotland) (uk/scotland),,gb,triangle,60,1 min,Hovered&#44 huge&#44 flashing&#44 silent&#44 wierd.,5/24/2005,56.15,-3.75,10,1,2000,20:00
10/1/2000 22:00,healesville. victoria (australia),,au,light,40,2/3 minutes,light in sky projecting &quot;beam&quot;.,8/28/2003,-37.653829,145.517006,10,1,2000,22:00
10/2/2001,chulucanas-piura la vieja (peru),,pe,other/unspecified,6312000,2 years,go to:  http://www.24horas.com.pe/data/videos/reportajes/repor020203_2.php for a 15 min report that aired last Feb 2nd on Peruvian TV P,3/4/2003,-5.129547,-80.120569,10,2,2001,0:00
10/1/2002 13:35,karavostasi (greece),,gr,cross,60,1 minute,a look-through aircraft a la &#39predator&#39,12/14/2004,39.337515,20.289964,10,1,2002,13:35
10/1/2003 2:00,peterborough (canada),on,ca,other/unspecified,30,15-30 seconds,GARGATUAN EXLPOSION IN THE SKY EMITS BRILLIANT BLINDING LIGHT AND EARTHQUAKE LIKE TREMORS,6/4/2004,44.3,-78.333333,10,1,2003,2:00
10/1/2003 22:30,quesnel (canada),bc,ca,other/unspecified,120,1 1/2 minutes,HBCCUFO CANADIAN REPORT:  The witness said the object was a brilliant red in color.,10/15/2003,52.983333,-122.483333,10,1,2003,22:30
10/1/2003 22:40,slocan park (canada),bc,ca,light,2,few seconds,HBCCUFO CANADIAN REPORT:  A glowing white ball dropped from the sky.,10/7/2003,49.51397,-117.618387,10,1,2003,22:40
10/1/2004 23:00,dunstable (uk/england),,gb,flare,300,5 mins,Fireball burned me  ((NUFORC Note:  May not be a serious report.  PD)),10/27/2004,51.883333,-0.516667,10,1,2004,23:00
10/1/2004 23:15,saskatoon (canada),sk,ca,round,7,5-7 seconds,Very bright&#44 circular object in evening sky,10/27/2004,52.133333,-106.666667,10,1,2004,23:15
10/1/2005 20:08,hamilton (canada),on,ca,light,15,15 seconds,2 bright lights simutaneously travelling north - Hamilton Ontario Canada -,10/11/2005,43.25,-79.833333,10,1,2005,20:08
10/1/2005 21:35,buxton (uk/england),,gb,light,240,4 mins?,3 satellite looking objects moving close together,10/11/2005,52.75,1.3,10,1,2005,21:35
10/1/2005 22:30,portage la prairie (canada0,mb,ca,other/unspecified,30,30 seconds,Six lights in a strange formation surrounded by two long rectagular objects,10/30/2012,49.972636,-98.282777,10,1,2005,22:30
10/1/2006 1:20,bursa (turkey),,tr,egg/teardrop,3,3 seconds,Bright green object in the sky,10/30/2006,40.182846,29.067084,10,1,2006,1:20
10/1/2006 6:00,iraq,,iq,triangle,15,15 seconds,I SAW THE SAME THING  IN 2006,7/5/2008,33.223191,43.679291,10,1,2006,6:00
10/1/2007 1:00,barrie (canada),on,ca,round,60,1min,the ufos went over my house  500 Lights On Object0: Yes,11/28/2007,44.383333,-79.7,10,1,2007,1:00
10/1/2007 2:00,adelaide  (south australia),,au,round,300,5 mins,Dancing &amp; Flashing UFO in Glenelg&#44 South Australia,10/8/2007,-34.928661,138.598633,10,1,2007,2:00
10/1/2007 20:00,north battleford (canada),sk,ca,disk,60,1 min,I was driving with my family and we looked up and seen a ufo almost directly above us.,12/12/2009,52.766667,-108.283333,10,1,2007,20:00
10/1/2008 0:24,kuala lumpur (malaysia),,my,disk,300,5mins,A huge &quot;creature&quot; built up with a line of bright line with a red light at the middle top of it&#44 appears in the dark clear Malaysia sky&#33,10/31/2008,3.139003,101.686855,10,1,2008,0:24
10/1/2008 19:40,delta (canada),bc,ca,disk,5,5 seconds,Lighted disk stops overhead,10/31/2008,50.183333,-98.316667,10,1,2008,19:40
10/1/2010 21:00,saskatoon (canada),sk,ca,changing,60,30-60 seconds,hazy yellow-orange light(s) that changed shape and moved fluidly,11/21/2010,52.133333,-106.666667,10,1,2010,21:00
10/1/2011 0:53,thunder bay (canada),on,ca,other/unspecified,5,4-5 seconds,0:53 or 12:53 am EST&#44 Saturday October 1st 2011&#44 Thunder Bay&#44 ON&#44 T like figure&#44 4 seconds&#44 dim orange lights&#44 silent  500 Lights On Ob,10/10/2011,48.4,-89.233333,10,1,2011,0:53
10/1/2011 17:00,carrieres sous poissy (france),,fr,cylinder,180,3 minutes,Huge grey cylinder rotating going down to my house from high altitude with no noise,12/12/2011,48.945484,2.037356,10,1,2011,17:00
10/1/2012 11:20,welland (canada),on,ca,flare,2700,45 minutes,Groups of 2 Orange/yellow balls shot through the sky in a set path and disappeared over and over,10/30/2012,42.983333,-79.25,10,1,2012,11:20
10/1/2013 23:00,london (uk/england),,gb,flare,30,30 seconds,Orange fireball seen hovering in London sky before vanishing.,10/3/2013,51.514125,-0.093689,10,1,2013,23:00
10/12/1967 1:45,viet nam (jungles of),,vn,other/unspecified,3600,1 hour,Lights in the Nam,12/3/2004,14.058324,108.277199,10,12,1967,1:45
10/12/1975 1:00,perth (w. of; southern cross) (western australia),,au,flare,900,15 minutes,fire ball and min min,6/18/2004,-31.95224,115.861397,10,12,1975,1:00
10/12/1988 16:30,melbourne (vic&#44 australia),,au,cylinder,900,15 min&#39s,Large cigar shaped craft&#44flying sideways&#44over bay&#44toward&#39s our car.,9/29/2004,-37.813938,144.963425,10,12,1988,16:30
10/12/1997 10:30,poole (uk/england),,gb,other/unspecified,60,1 minute,UFO Sighted in Poole&#44 Dorset England,3/19/2009,50.716667,-2,10,12,1997,10:30
10/12/2000 11:09,la serena (vi&ntilde;a del mar) (chile),,cl,formation,7620,127 m,I dont Write English But I Have a 3 Videos Bery high resolution My email victorvialt@123click.cl Chile Suth America,4/25/2002,-29.906301,-71.250204,10,12,2000,11:09
10/12/2000 20:08,brixham&#44 devon (uk/england),,gb,light,600,10 minutes,Unusual lights which blink on and off&#44 before one disappears and one starts moving and flies across the horizon.,12/2/2000,50.39514,-3.513924,10,12,2000,20:08
10/12/2001 19:40,sainte-suzanne (near switzerland) (france),,fr,other/unspecified,2,2 secondes,The craft was too dark&#44 but behind i have seen a long and large light blue flame&#44 and all disapeared after a zigzag of 2 sec. The direc,10/12/2001,48.097456,-0.349277,10,12,2001,19:40
10/12/2001 20:30,cannock (uk/england),,gb,triangle,10,5-10 seconds,a triangular object moving in a southeasterly direction,11/20/2001,52.683333,-2.016667,10,12,2001,20:30
10/12/2002 19:13,australia (rural),,au,other/unspecified,420,7 minutes,This was a very close encounter with  unidentifiable flying phenomenon.,8/12/2008,-25.274398,133.775136,10,12,2002,19:13
10/12/2002 19:45,rotherham (uk/england),,gb,light,120,2 minutes,Strange light in the sky,10/15/2002,53.433333,-1.35,10,12,2002,19:45
10/12/2002 23:45,langley (canada),bc,ca,triangle,30,30 seconds,I went outside to have a cigarette pretty close to midnight on Oct. 12th&#44 2002.I star gaze on a regular basis. I live close to the Lang,10/28/2002,49.1,-122.65,10,12,2002,23:45
10/12/2003 21:15,pickering (canada),on,ca,round,7200,a few hours,There were 4 sometimes 5 seperate crafts with one bright light each which was all you could see and  were changing formations.,1/17/2004,43.866667,-79.033333,10,12,2003,21:15
10/13/2003,salatiga (indonesia),,id,disk,22,22 seconds,UFO in Salatiga&#44Indonesia,10/31/2003,-7.33683,110.498817,10,13,2003,0:00
10/12/2004 15:00,antibes (france),,fr,round,2700,45 minutes,Round sphere off the coast of southern France.,5/15/2013,43.580418,7.125102,10,12,2004,15:00
10/12/2004 16:00,&iacute;safj&ouml;r&eth;ur (iceland),,is,cylinder,900,15 min,Cylinder hiding from fighter jets in west Iceland,10/27/2004,66.075833,-23.126667,10,12,2004,16:00
10/12/2005 13:06,richmond hill (canada),,ca,round,3,3 seconds,The flything ubject came out of the clouds&#44&#44&#44 and stayed there for about 5 - 10 seconds and it sudenly moved to the right hand side by,11/3/2005,43.866667,-79.433333,10,12,2005,13:06
10/12/2005 19:35,gurgaon (india),,in,round,420,5-7 minutes,Blue oval ball over Gurgaon sky line,10/20/2005,28.459497,77.026638,10,12,2005,19:35
10/12/2006 1:23,cornwall (canada),on,ca,round,1620,27 minutes,Floating red object over local baseball field.,10/8/2007,46.24,-63.21,10,12,2006,1:23
10/12/2006 18:30,victoria (canada),bc,ca,other/unspecified,120,< 2 minutes,Saw bright large light 2000 feet&#44Juan de Fuca strait&#444 miles south of Victoria Dissappeared with out moving,10/30/2006,46.216667,-63.483333,10,12,2006,18:30
10/12/2008 21:00,stafford (uk/england),,gb,light,60,1 minute,Another UFO&#44 definately watching me and sending signals.,1/10/2009,52.833333,-2,10,12,2008,21:00
10/12/2010 0:00,port au port west (canada),nf,ca,light,900,10 -15 min,moving  bright white light fades out / moves far away then returns shortly after,11/21/2010,48.539371,-58.776848,10,12,2010,0:00
10/12/2012 21:25,oshawa (canada),on,ca,triangle,3,3 seconds,Large silent metallic craft&#44very fast and no lights,10/30/2012,43.9,-78.866667,10,12,2012,21:25
10/12/2012 23:00,varanasi (india),,in,changing,8,8 seconds,I Witnessed a holographic-like display of about 50 points of light rapidly transforming into various 3-dimensional rectangular shapes,10/14/2013,25.317645,82.973914,10,12,2012,23:00
10/12/2013 20:28,keswick (canada),on,ca,round,120,2 minutes,Fuzzy orange sphere in night sky moving quickly south to north no nav lights visible,10/14/2013,44.25,-79.466667,10,12,2013,20:28
10/12/2013 21:00,koh samui (thailand),,th,round,45,45 seconds,Bright orange sphere in nighttime sky in Thailand.,10/14/2013,9.512017,100.013593,10,12,2013,21:00
10/12/2013 22:00,sundridge (canada),on,ca,round,15,several hours,Multi colored Lights that moved in all random directons.  ((NUFORC Note:  We suspect &quot;twinkling&quot; stars.  PD)),10/14/2013,45.766667,-79.4,10,12,2013,22:00
10/13/1999 4:28,east kilbride (south lanarkshire) (uk/scotland),,gb,other/unspecified,3600,1 hour at least,It was from a high flat window&#44 several miles away high&#44 really high up in the sky. I was scepticle as the object never moved&#44 I could,11/2/1999,55.766667,-4.166667,10,13,1999,4:28
10/13/2002 22:00,budapest (hungary),,hu,round,600,10 minutes approx,Blue-greay oval over Szentendre (Hungary),7/23/2003,47.497912,19.040235,10,13,2002,22:00
10/13/2003 7:00,mississauga (canada),on,ca,flare,180,3 minutes,Large fiery meteor-like entry,10/17/2003,43.15,-79.5,10,13,2003,7:00
10/13/2003 12:30,guasave sinaloa,,mx,changing,480,8 minutes,Change form getting energy,11/26/2003,25.566699,-108.467305,10,13,2003,12:30
10/13/2003 19:15,runcorn (uk/england),,gb,other/unspecified,90,90 seconds,A group of lights.,1/17/2004,53.333333,-2.75,10,13,2003,19:15
10/13/2003 20:15,bolton (canada),on,ca,light,120,2 minutes,Star like object flying/wobbling.,10/15/2003,43.883333,-79.733333,10,13,2003,20:15
10/13/2003 22:20,laval (canada),pq,ca,triangle,180,approx: 3 minutes,HBCCUFO CANADIAN REPORT:  The lights changed into the shape of a large triangular craft.,10/17/2003,45.6,-73.733333,10,13,2003,22:20
10/13/2004 7:19,manchester (uk/england),,gb,flare,30,30sec,loud sonic like bang&#44 /two fire balls /comets  ((NUFORC Note:  Possible&#44 though unconfirmed&#44 daytime meteor??  PD)),10/27/2004,53.5,-2.216667,10,13,2004,7:19
10/13/2005 19:10,shropshire (uk/england),,gb,light,1200,20 minutes,bright lights in England (shropshire)  near shrewsbury,10/20/2005,52.666667,-2.75,10,13,2005,19:10
10/13/2006 0:02,berlin (germany),,de,flare,120,1-2 minutes,7 shooting lights&#44 followed by a formation&#44 followed by a fireball.They appeared to be white in colour and exhude an extrodinary a,10/30/2006,52.516667,13.4,10,13,2006,0:02
10/13/2006 4:30,simco (20-40 km west of) (canada),on,ca,round,30,30 seconds,Hovering 300m in the air 500m off road side one bright middle light and a dimmer light circling the object no red and blue lights like,10/30/2006,42.837263,-80.304042,10,13,2006,4:30
10/13/2007 1:59,iroquois falls (canada),on,ca,triangle,120,approxmately 2 minutes,triangular shaped craft with lights at each point&#44 rotating over remote northern Canadian town. report 30 minutes after witnessing.,3/4/2008,48.766667,-80.666667,10,13,2007,1:59
10/13/2007 2:25,kagoshima (japan),,jp,formation,15,10-15 seconds,Object was a birdlike formation suddenly apearing in the sky then gradually passing toward north-east and suddenly vanishing. Event las,11/28/2007,31.596554,130.557116,10,13,2007,2:25
10/13/2007 4:50,noida (india),,in,flare,120,2 minutes,FOOTBALL SHAPED AND SIZED BRIGHT OBJECT IN THE NIGHT SKY,11/28/2007,28.535516,77.391026,10,13,2007,4:50
10/13/2007 22:30,kirkcaldy (uk/scotland),,gb,round,600,10 mins +,semi-transparent big wheel like object. spinning in a stationery possition for about 10 miutes,11/28/2007,56.116667,-3.166667,10,13,2007,22:30
10/13/2009 2:45,belleville (canada),on,ca,disk,5,5 seconds,I was driving back to Cornwall ontario from burlington for thanksgiving. It was approximately 0245 -0300 hours in the am. It was at the,7/6/2010,44.166667,-77.383333,10,13,2009,2:45
10/13/2009 14:00,whakatane (new zealand),,nz,triangle,1800,15-30min,Hi I decided to get out of Auckland City for a while&#44so me and my girlfriend went for a drive&#44so we decided to go to Whatatane&#44its a sm,12/12/2009,-37.953411,176.990801,10,13,2009,14:00
10/13/2011 18:45,mysore (india),,in,light,10,10 sec,It was a star like thing which was not twinkling . . . But moving very swiftly . . &#33,10/19/2011,12.29581,76.639381,10,13,2011,18:45
10/13/2011 19:47,oldham (uk/england),,gb,round,60,1 minute,Oval shape unlike anything I have seen before emitting bright lights,10/19/2011,53.55,-2.116667,10,13,2011,19:47
10/13/2012 2:00,benidorm (spain),,es,changing,660,11 minutes,Best UFO Sighting Footage of 2012.,11/4/2012,38.541057,-0.122494,10,13,2012,2:00
10/13/2012 20:00,calgary (canada),ab,ca,light,120,120 seconds,Bright light seen over calgary se,10/30/2012,51.083333,-114.083333,10,13,2012,20:00
10/13/2012 20:30,glasgow (uk/scotland),,gb,round,300,5 minutes,Strange Orange Orb over Glasgow&#44 Scotland&#44 UK,10/30/2012,55.833333,-4.25,10,13,2012,20:30
10/13/2012 22:30,seaford (uk/england),,gb,light,600,10 minutes,Unusual set of 3 lights captured on camera,10/30/2012,50.766667,0.1,10,13,2012,22:30
10/13/2012 22:30,tonbridge (uk/england),,gb,flare,2,2 seconds,Laying on sofa &#44noticed green ball very quickly descend into tree line.,10/30/2012,51.183333,0.283333,10,13,2012,22:30
10/13/2012 22:54,vineland (canada),on,ca,round,2400,40 minutes,Tiny stars.,2/4/2013,43.151355,-79.39277,10,13,2012,22:54
10/13/2013 4:30,toronto (canada),on,ca,flare,3600,1 hour,Orange fireballs over Lake Ontario.  Geometric shapes.,10/14/2013,43.666667,-79.416667,10,13,2013,4:30
10/13/2013 21:30,regina (canada),sk,ca,light,20,20 seconds,Four red lights in sky&#44 that faded and disapeared,10/14/2013,50.45,-104.616667,10,13,2013,21:30
10/13/2013 23:05,kolhapur (india),,in,triangle,3,2-3 seconds,Place: Kolhapur&#44 Maharashtra&#44 India Location:- Chandwani Hall&#44 Tarabai Park Time:- Indian standard time 23:05 (11:05 p.m. ) Lat,10/14/2013,16.691308,74.244866,10,13,2013,23:05
10/14/1998 1:45,south eastern coast (republic of ireland),,ie,chevron,300,5 min,Was at a hotel on the southern coast of Ireland&#44 just enjoying the night air&#44 when a light appeared about 30 degrees off the horizon&#44,11/1/1998,22.564254,114.229432,10,14,1998,1:45
10/14/1998 6:45,winnipeg (canada),mb,ca,round,3600,1hour,at 6:45am when l was heading off to work  my mom and l saw  5 large white spheres &#44they were moving  slowly in a circular  pattern,11/2/2004,49.883333,-97.166667,10,14,1998,6:45
10/14/1999 16:30,kingston (canada),on,ca,light,45,30-45 seconds,I was looking straight up at my TV antenna because my cable had become disconnected from the antenna.  I saw a small bright light glidi,12/2/2000,44.233333,-76.483333,10,14,1999,16:30
10/14/2000 18:43,kuantan (malaysia),,my,round,300,5 minutes,I&#39m the Chinese which has staying in Malaysia (Asia Country). I saw the crafts which look like sphere shape flying in the sky for about,12/2/2000,3.824973,103.3239,10,14,2000,18:43
10/14/2001 19:50,demming (canada),ns,ca,round,20,10 to 20 sec,white very brigt just east of mars. about 6 times the size of mars. became brighter and larger. began to fade and then shot off and dis,11/20/2001,32.268698,-107.75864,10,14,2001,19:50
10/14/2002 12:25,brisbane (qld&#44 australia),,au,round,20,20 seconds,i just got back from work. i was taking a shower and i heard a loud bang&#33 noise outside the back yard. my dog was barking. i thought it,10/15/2002,-27.47101,153.024292,10,14,2002,12:25
10/14/2002 18:05,windsor (canada),on,ca,other/unspecified,600,10 minutes,5 slow moving objects near detroit/windsor,10/28/2002,45.583333,-72,10,14,2002,18:05
